lng,lat,v
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
40.144,-75.116,99
45.846,-119.282,74.13999939
34.353,-87.763,73.77999878
39.969,-86.081,99.25
39.473,-76.458,49.47
31.073,-97.736,98.94999695
31.72,-85.816,64.80000305
34.426,-117.572,68.33000183
27.768,-97.4,75.45999908
40.531,-74.218,99.08000183
37.792,-122.408,98.30000305
33.995,-117.373,99.08999634
27.768,-97.4,97.8199997
42.509,-96.362,99.13999939
34.155,-118.594,98.77999878
36.175,-115.137,97.38999939
39.864,-75.435,99.13999939
33.448,-111.805,99.13999939
40.016,-76.245,98.40000153
39.633,-80.087,99.13999939
40.802,-73.937,99.13999939
41.908,-84.064,98.51999664
36.119,-80.075,98.33999634
43.059,-71.309,96.90000153
33.787,-84.59,99.11000061
40.299,-76.709,99.11000061
33.909,-84.177,99.13999939
39.952,-75.164,98.63999939
40.108,-76.505,99.13999939
0,0,98.62000275
41.651,-88.086,99.13999939
41.46,-72.818,99.13999939
37.166,-93.325,98.44000244
34.224,-118.632,97.23999786
33.275,-111.863,99.13999939
30.356,-88.49,99.13999939
43.982,-91.635,99.27999878
27.768,-97.4,97.8199997
36.035,-79.486,97.23999786
42.509,-96.362,99.13999939
34.155,-118.594,98.77999878
36.175,-115.137,97.38999939
39.864,-75.435,99.13999939
33.448,-111.805,99.13999939
40.016,-76.245,98.40000153
39.633,-80.087,99.13999939
40.802,-73.937,99.13999939
41.908,-84.064,98.51999664
36.119,-80.075,98.33999634
43.059,-71.309,96.90000153
33.787,-84.59,99.11000061
40.299,-76.709,99.11000061
33.909,-84.177,99.13999939
39.952,-75.164,98.63999939
40.108,-76.505,99.13999939
0,0,98.62000275
41.651,-88.086,99.13999939
41.46,-72.818,99.13999939
37.166,-93.325,98.44000244
34.224,-118.632,97.23999786
33.275,-111.863,99.13999939
30.356,-88.49,99.13999939
32.639,-96.563,99.27999878
39.481,-76.644,49.47000122
28.76,-81.343,98.40000153
29.424,-98.494,70.34999847
47.63,-122.054,99.11000061
28.666,-81.369,99.08000183
39.207,-76.747,99.11000061
45.639,-122.661,99.19999695
39.084,-77.153,95.55999756
18.39,-66.066,99.11000061
